,RL,pocock,kk,gurobi,sequential,random,CA_RO,imballance_RL,imballance_pocock,imballance_kk,imballance_random,imballance_CA_RO,new_RL,new_CA_RO
58,1.7966840085910292,4.001395497130524,0,0,4.126666666666666,3.2021722986464556,3.226666666666666,12.0,30.0,0,44.0,0.0,101.83420042955146,161.33333333333331
59,1.8522443977591037,3.5651103077493516,0,0,3.166666666666667,3.165760061145898,2.6,12.0,6.0,0,16.0,0.0,104.61221988795518,130.0
60,2.053514543647371,4.227567960822772,0,0,4.4399999999999995,4.0395751231527095,3.833333333333333,16.0,24.0,0,24.0,0.0,118.67572718236855,191.66666666666666
61,1.7607027833190074,4.484176319176319,0,0,2.8866666666666667,3.5880858937717437,4.226666666666667,14.0,24.0,0,18.0,0.0,102.03513916595037,211.33333333333331
62,1.883556795131846,3.4633548466408515,0,0,3.3099999999999996,3.7840703451889794,2.8899999999999992,12.0,14.0,0,20.0,0.0,106.17783975659229,144.49999999999997
63,1.8088749845507357,4.426069537346711,0,0,4.343333333333333,4.220060331825038,3.2966666666666664,14.0,26.0,0,16.0,0.0,104.44374922753678,164.83333333333331
64,1.639719165085389,3.9990095657031137,0,0,4.426666666666667,3.8678114478114476,3.533333333333333,10.0,16.0,0,22.0,0.0,91.98595825426945,176.66666666666666
65,1.713581932773109,4.396231469970265,0,0,4.673333333333334,2.547962605998588,3.333333333333334,12.0,10.0,0,22.0,0.0,97.67909663865545,166.66666666666669
66,2.0236566742081448,3.932636566817601,0,0,2.963333333333333,4.45522090246355,3.4233333333333333,16.0,24.0,0,30.0,0.0,117.18283371040724,171.16666666666666
67,1.6464970455948498,4.264570852534563,0,0,3.6366666666666667,3.1671300563236042,2.7,16.0,18.0,0,22.0,0.0,98.32485227974249,135.0
68,1.8267670250896058,4.066616161616161,0,0,3.7366666666666664,3.4170834695434245,3.1133333333333333,16.0,28.0,0,22.0,0.0,107.33835125448029,155.66666666666666
69,2.190922619047619,3.6297614633543445,0,0,3.043333333333334,4.300204236552921,3.8666666666666676,8.0,8.0,0,20.0,0.0,117.54613095238095,193.33333333333337
70,1.840419725202334,3.4583577712609976,0,0,3.3,4.066326445770272,3.066666666666667,18.0,14.0,0,8.0,0.0,110.0209862601167,153.33333333333334
71,1.8562797619047617,2.9964503910068423,0,0,3.0666666666666664,3.766643740796664,3.04,18.0,28.0,0,24.0,0.0,110.81398809523809,152.0
72,1.7269885908595586,2.4334661129488717,0,0,3.5999999999999996,3.099547612426506,2.1399999999999997,14.0,14.0,0,6.0,0.0,100.34942954297793,106.99999999999999
73,1.8251911374629426,3.5988168498168496,0,0,4.946666666666667,3.457373113079635,2.4,12.0,18.0,0,22.0,0.0,103.25955687314713,120.0
74,1.6089303485887927,2.4531295579176016,0,0,3.73,3.774039894996111,2.5566666666666666,16.0,24.0,0,20.0,0.0,96.44651742943964,127.83333333333333
75,1.8196470196470198,3.3866496627366196,0,0,3.5533333333333337,3.729723042763087,1.9866666666666666,12.0,36.0,0,16.0,0.0,102.982350982351,99.33333333333333
76,1.7660803436665504,4.13344943002668,0,0,3.95,2.9129797517297518,2.95,12.0,18.0,0,14.0,0.0,100.30401718332752,147.5
77,1.5865728021978023,3.8686427685218003,0,0,3.9133333333333336,3.789858266355544,2.996666666666667,12.0,16.0,0,22.0,0.0,91.32864010989012,149.83333333333334
78,1.7434234446803967,3.8588455037187286,0,0,3.99,3.6175828927967784,3.25,8.0,28.0,0,22.0,0.0,95.17117223401983,162.5
79,1.8694235953363747,3.9330408989891747,0,0,4.3966666666666665,3.5798591204841212,2.87,14.0,18.0,0,22.0,0.0,107.47117976681874,143.5
80,1.9588415890894542,3.846361948895682,0,0,3.726666666666666,3.9314781297134243,1.9333333333333331,14.0,16.0,0,28.0,0.0,111.9420794544727,96.66666666666666
81,1.5131215754130103,3.5124661360145235,0,0,4.09,2.74981107998755,2.5966666666666667,14.0,8.0,0,20.0,0.0,89.65607877065051,129.83333333333334
82,1.7961737580407655,3.3211265375715504,0,0,3.213333333333333,3.9844905533063426,3.6366666666666667,14.0,18.0,0,20.0,0.0,103.80868790203827,181.83333333333334
83,2.1876974145980235,4.400992538439973,0,0,2.6533333333333333,4.261806270895455,3.1033333333333326,18.0,22.0,0,20.0,0.0,127.38487072990117,155.16666666666663
84,1.7853292872704634,3.6883127221967764,0,0,3.4466666666666663,2.857012678378532,3.296666666666667,20.0,10.0,0,28.0,0.0,109.26646436352317,164.83333333333334
85,2.0176776031614745,3.78752036493972,0,0,3.78,2.979604885057471,2.6,14.0,8.0,0,4.0,0.0,114.88388015807372,130.0
86,1.8979433268344559,3.9563938407847576,0,0,5.293333333333334,3.320338771951675,3.48,16.0,22.0,0,18.0,0.0,110.8971663417228,174.0
87,1.7874285714285714,4.160886699507389,0,0,4.27,4.220377760096379,2.4366666666666665,14.0,22.0,0,24.0,0.0,103.37142857142857,121.83333333333333
88,2.1971245791245795,4.568185792140252,0,0,3.8033333333333337,4.083486861020067,3.0733333333333333,16.0,16.0,0,16.0,0.0,125.85622895622897,153.66666666666666
89,1.8379026610644258,4.15328341013825,0,0,3.5533333333333337,4.866693827545755,3.0466666666666664,16.0,8.0,0,16.0,0.0,107.89513305322129,152.33333333333331
90,2.262405766276734,3.673904810945968,0,0,3.3633333333333333,4.880874763899154,2.33,12.0,16.0,0,28.0,0.0,125.1202883138367,116.5
91,1.9150846879352406,3.069278499278499,0,0,4.3966666666666665,3.625868090902573,3.4666666666666663,10.0,10.0,0,20.0,0.0,105.75423439676203,173.33333333333331
92,1.6676231527093597,3.47859112213951,0,0,4.586666666666667,3.04141764917627,2.733333333333333,14.0,20.0,0,14.0,0.0,97.38115763546799,136.66666666666666
93,2.367154965211891,3.8646861618210506,0,0,4.43,3.9324900259435367,2.966666666666667,10.0,20.0,0,24.0,0.0,128.35774826059455,148.33333333333334
94,2.106124757595346,4.192613387626176,0,0,3.963333333333333,2.8365459102301207,2.6733333333333333,12.0,28.0,0,32.0,0.0,117.3062378797673,133.66666666666666
95,1.9800169179479523,3.8176141257536615,0,0,3.1800000000000006,3.0015637351778652,3.1733333333333333,12.0,26.0,0,30.0,0.0,111.00084589739761,158.66666666666666
96,2.2524561534291134,3.922859848484848,0,0,3.8266666666666667,3.9507202400347565,2.3533333333333335,14.0,16.0,0,12.0,0.0,126.62280767145567,117.66666666666667
97,1.6141416824794432,4.213464895635673,0,0,3.7899999999999987,2.953736999209747,2.506666666666667,10.0,10.0,0,8.0,0.0,90.70708412397217,125.33333333333334
98,1.8043716737265132,3.7023024499654933,0,0,4.1066666666666665,3.859731182795699,3.376666666666667,18.0,24.0,0,16.0,0.0,108.21858368632566,168.83333333333334
99,1.9779978123728121,4.785457715780296,0,0,3.486666666666667,4.054973929075562,2.686666666666666,14.0,22.0,0,26.0,0.0,112.89989061864061,134.33333333333331
